Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
50, 3, 19, 54, 1, 20, 375, 0.0021193477530372686, 0
45, 1, 55, 814, 1, 297, 345, 0.004457179819343744, 1
553, 2, 25, 148, 1, 71, 3120, 1.6958101011433521E-6, 0
10, 1, 81, 1183, 1, 354, 46, 1.8571811792478137, 0
149, 3, 0, 0, 1, 1, 1202, 1.3439693610353755E-4, 0
47, 2, 40, 384, 1, 113, 457, 0.0018133332929238539, 0
29, 1, 23, 196, 1, 66, 148, 0.07001421702109166, 0
199, 2, 0, 0, 1, 1, 973, 2.1227796832124605E-4, 0
175, 1, 5, 8, 1, 5, 1231, 6.178380898865744E-5, 0
89, 2, 0, 0, 1, 1, 787, 5.897846995537725E-4, 0
86, 1, 62, 1649, 1, 572, 717, 3.306399442739136E-4, 1
17, 2, 12, 59, 1, 16, 89, 0.17586289938836855, 0
82, 2, 51, 389, 1, 141, 568, 8.275179130027806E-4, 0
24, 2, 49, 299, 1, 102, 188, 0.012424633336877405, 0
118, 2, 0, 0, 1, 1, 1315, 1.13567863053914E-4, 0
48, 1, 198, 3317, 1, 1248, 331, 0.009510980759985164, 1
270, 3, 0, 0, 1, 1, 2201, 1.8108500659101098E-5, 0
145, 2, 22, 310, 1, 135, 1418, 3.630564588997731E-5, 0
276, 2, 23, 168, 1, 78, 2137, 9.338715508730723E-6, 0
35, 2, 47, 497, 1, 148, 256, 0.0049770959991661985, 1
26, 2, 32, 270, 1, 79, 198, 0.009437587604671763, 1
