SUB  , NUMBER   , ']'          , '['          , ')'        , 1
SUB  , 99       , 'else'       , NAME         , 'elif'     , 1
SUB  , '+'      , 'class'      , '+'          , NAME       , 1
SUB  , NEWLINE  , 'with'       , '='          , NAME       , 1
SUB  , '='      , 'with'       , '('          , NAME       , 1
SUB  , '('      , 'with'       , ')'          , NAME       , 1
SUB  , STRING   , NUMBER       , UNKNOWN_CHAR , ':'        , 1
SUB  , ':'      , UNKNOWN_CHAR , '，'          , STRING     , 1
SUB  , NEWLINE  , 'import'     , '.'          , 'from'     , 1
SUB  , '('      , '...'        , END          , ')'        , 1
SUB  , 'None'   , 'and'        , END          , ':'        , 1
SUB  , ')'      , 'for'        , NAME         , 'in'       , 1
SUB  , STRING   , NAME         , NAME         , STRING     , 1
SUB  , 99       , NAME         , STRING       , 'return'   , 1
SUB  , NAME     , NEWLINE      , '['          , ')'        , 1
SUB  , '='      , UNKNOWN_CHAR , UNKNOWN_CHAR , 'None'     , 1
SUB  , '='      , 'lambda'     , '，'          , NAME       , 1
SUB  , ']'      , '['          , 'for'        , ']'        , 1
SUB  , NAME     , '='          , NUMBER       , '>='       , 1
SUB  , NAME     , '，'          , NAME         , '('        , 1
SUB  , '('      , STRING       , ')'          , NAME       , 1
SUB  , NAME     , 'in'         , 'not'        , 'is'       , 1
SUB  , '.'      , 'import'     , '='          , NAME       , 1
SUB  , '...'    , NAME         , '...'        , '='        , 1
SUB  , ')'      , 'is'         , NAME         , 'if'       , 1
SUB  , NAME     , ')'          , '['          , ']'        , 1
SUB  , NAME     , ';'          , NAME         , '-'        , 1
SUB  , '，'      , 'pass'       , ':'          , STRING     , 1
SUB  , ')'      , '}'          , END          , ']'        , 1
SUB  , START    , 'elif'       , '('          , 'if'       , 1
SUB  , '='      , 'return'     , '.'          , NAME       , 1
SUB  , NAME     , 'else'       , NAME         , 'in'       , 1
SUB  , NAME     , NEWLINE      , END          , ')'        , 1
SUB  , 'for'    , 'for'        , 'in'         , NAME       , 1
SUB  , 98       , 'def'        , '...'        , NAME       , 1
SUB  , NAME     , '...'        , NEWLINE      , '='        , 1
SUB  , ':'      , 'None'       , '，'          , NAME       , 1
SUB  , '.'      , '('          , STRING       , NAME       , 1
SUB  , '，'      , '('          , END          , NAME       , 1
